Île de France	52.49	47.51
Champagne-Ardenne	58.53	41.47
Picardie	54.45	45.55
Haute-Normandie	52.47	47.53
Centre	55.02	44.98
Basse-Normandie	54.22	45.78
Bourgogne	54.28	45.72
Nord - Pas-de-Calais	50.31	49.69
Lorraine	54.65	45.35
Alsace	65.5	34.5
Franche-Comté	55.51	44.49
Pays de la Loire	51.73	48.27
Bretagne	47.38	52.62
Poitou-Charentes	48.74	51.26
Aquitaine	48.35	51.65
Midi-Pyrénées	46.71	53.29
Limousin	45.42	54.58
Rhône-Alpes	56.31	43.69
Auvergne	49.37	50.63
Languedoc-Roussillon	54.1	45.9
Provence-Alpes-Côte d'Azur	61.84	38.16
Corse	60.12	39.88
Gaudeloupe	49.17	50.83
Martinique	39.48	60.52
Guyane	53.08	46.92
Réunion	36.43	63.57
Sainte Pierre et Miquelon	39.14	60.86
Mayotte	39.96	60.04
Wallis et Futuna	50.17	49.83
Polynesie Francaise	51.9	48.1
Nouvelle Caledonie	62.98	37.02
